study_hours,attendance,previous_marks,assignments,sleep_hours,final_marks
7,70,56,88,5,65.2
4,81,44,84,6,66.6
5,72,68,68,7,72.1
7,82,43,69,5,67.6
3,52,49,55,8,52.6
8,67,95,79,7,70.2
5,74,56,58,7,58.1
5,91,49,57,8,63.3
7,80,56,40,5,55.9
2,52,59,53,5,46.7
3,89,63,90,7,74.5
7,95,44,86,5,62.1
3,73,73,89,6,72.9
3,99,45,41,8,60.8
8,81,92,93,6,83.9
5,96,41,67,5,57.5
4,71,52,88,7,59.8
8,72,82,89,8,74.2
8,51,82,69,5,74.9
3,76,87,77,5,72.0
6,91,50,90,7,65.6
5,51,90,43,7,59.6
2,75,86,40,6,59.2
8,66,62,47,8,64.9
4,89,94,68,8,67.2
6,82,55,94,7,68.8
6,58,70,78,6,73.5
2,92,50,42,8,52.9
8,97,93,71,7,82.7
4,88,55,49,5,52.1
5,78,47,49,8,61.5
1,91,43,58,6,52.0
4,75,79,85,6,65.8
2,84,43,73,6,49.9
6,99,95,99,5,88.5
5,74,64,72,8,60.8
4,73,42,62,8,59.5
1,62,71,94,5,49.8
1,56,42,67,8,51.9
3,85,66,71,5,65.1
3,94,68,89,5,71.5
7,69,71,46,5,61.6
2,50,89,68,6,65.2
8,57,90,47,8,80.5
4,95,58,40,5,55.7
4,65,60,96,8,65.4
8,63,44,94,6,68.0
7,61,57,42,5,54.4
6,100,67,63,7,69.4
6,72,81,62,6,65.9
7,64,61,98,7,79.0
6,77,60,100,8,77.5
3,83,45,47,8,53.3
4,51,40,93,6,46.0
7,81,44,96,8,66.2
4,72,80,86,7,72.1
8,71,51,76,5,57.2
1,100,65,42,5,55.3
3,74,85,90,5,63.3
5,71,73,72,6,66.2
3,71,88,67,8,67.9
7,98,53,86,7,75.0
5,91,65,47,8,64.3
1,55,84,73,8,58.9
7,64,66,74,8,67.2
2,92,48,71,5,58.0
4,86,65,63,7,67.8
1,82,86,53,7,56.1
4,57,61,71,8,60.6
6,93,86,95,5,79.4
2,93,95,85,5,71.6
2,54,69,82,7,59.6
1,88,82,55,5,57.0
2,53,87,43,5,53.6
5,55,56,91,5,63.2
2,94,65,76,6,63.8
4,81,75,93,8,75.6
4,79,40,60,7,60.3
7,96,47,53,7,58.6
4,84,88,70,6,73.6
7,89,74,94,8,82.5
4,65,91,87,7,67.2
5,62,54,57,5,58.0
8,99,86,46,7,75.4
7,91,95,49,5,72.2
3,79,61,46,6,53.2
6,68,53,72,5,62.0
1,66,65,62,7,51.2
4,68,67,60,7,64.5
2,77,62,58,7,56.4
8,75,53,87,6,69.2
4,86,63,100,6,73.0
2,75,41,58,8,51.6
6,72,84,75,7,76.7
6,58,65,68,5,64.9
6,61,53,99,6,60.9
2,50,95,57,7,64.1
4,50,90,41,7,53.4
6,96,46,40,6,64.4
5,83,42,86,8,74.4
7,81,86,44,6,73.0
2,97,62,59,6,51.1
2,74,85,50,5,61.8
